"全体の関数／関数コールカバレッジ情報"
"関数網羅率","50%"
"関数コール網羅率","N/A"

"関数／関数コールカバレッジ情報"
"ファイル名","関数網羅率(ファイル単位)","関数コール網羅率(ファイル単位)","関数名","関数実行","関数コール網羅率(関数単位)","関数コール数","関数コール位置","関数コール実行"
"src.c","50%","N/A","Subsystem","○","N/A","0","-","-"
,,,"main","×","N/A","0","-","-"

"バージョン情報"
"winAMS","R9.1"
"CasePlayer2","R9.1"
"XAIL","V3.8.3.20"
"マイコンシミュレータ","hsngt0.xdo V1.02.1"
"OMFコンバータ","-"
